"","standardised_crepon_profit","crepon_treatment"
"1",6.11279671604498,0
"2",89.2379082634303,0
"3",-53.4981260039265,0
"4",6.24665357844012,0
"5",80.099946457255,0
"6",0,0
"7",-155.497055149027,0
"8",-105.300731750848,0
"9",-186.48045689809,0
"10",-720.149919685883,0
"11",-178.96662502231,0
"12",183.050270223541,0
"13",-228.805996787435,0
"14",0,0
"15",-546.814206674996,0
"16",0,0
"17",85.7576298411565,0
"18",-118.864893806889,0
"19",108.73639121899,0
"20",19.1861502766375,0
"21",205.113332143495,0
"22",0,0
"23",0,0
"24",41.7187221131537,0
"25",-213.233981795467,0
"26",-236.203819382474,0
"27",339.746564340532,0
"28",303.631982866322,0
"29",-12.7610208816705,0
"30",1187.52454042477,0
"31",52.1372479029092,0
"32",63.2473674817062,0
"33",-164.670712118508,0
"34",7.13903266107442,0
"35",-70.6942709262895,0
"36",0.446189541317152,0
"37",-129.930394431555,0
"38",115.652329109406,0
"39",59.7893985364983,0
"40",8.03141174370873,0
"41",0,0
"42",1682.44690344458,0
"43",-390.505086560771,0
"44",44.9759057647689,0
"45",10.4676066393004,0
"46",52.159557379975,1
"47",-188.158129573443,1
"48",-0.0356951633053721,1
"49",-105.61306442977,1
"50",0,1
"51",-43.6819560949491,1
"52",-116.183085512226,1
"53",99.5448866678565,1
"54",369.311083348206,1
"55",669.552025700518,1
"56",643.137604854542,1
"57",0,1
"58",-99.5002677137248,1
"59",-91.6473317865429,1
"60",21.5509548456184,1
"61",-236.926646439407,1
"62",-27.0569337854721,1
"63",-1292.52186328752,1
"64",167.053364269142,1
"65",1334.19596644655,1
"66",37.9261110119579,1
"67",220.149919685883,1
"68",142.780653221489,1
"69",129.127253257184,1
"70",-6.60360521149384,1
"71",-174.192396930216,1
"72",-10.3515973585579,1
"73",171.997144386936,1
"74",322.238086739247,1
"75",-75.5845082991255,1
"76",-354.363733714082,1
"77",-52.0257005175799,1
"78",149.919685882563,1
"79",0,1
"80",-9.36998036766018,1
"81",274.495805818312,1
"82",201.329644833125,1
"83",95.9307513831876,1
"84",1661.34213814028,1
"85",185.614849187935,1
"86",272.309477065858,1
"87",248.884526146707,1
"88",-21.4170979832233,1
"89",-23.1572371943602,1
"90",-151.766910583616,1
"91",17.2407638764947,1
"92",26.4858111725861,1
"93",44.5475638051044,1
"94",6.15741567017669,1
"95",-126.762448688203,1
"96",40.8531144029984,1
"97",-102.132786007496,1
"98",0,1
"99",-366.517936819561,1
"100",76.3876494734964,1
"101",-106.61252900232,1
"102",-63.9835802248795,1
"103",84.7760128502588,1
"104",531.099411029806,1
"105",25.1026235945029,1
"106",2.00785293592718,1
"107",21.8989826878458,1
"108",0,1
"109",0,1
"110",428.993396394789,1
"111",126.142245225772,1
"112",100.803141174371,1
"113",-325.406032482599,0
"114",57.0010450595663,0
"115",-84.0174906300196,0
"116",0,0
"117",-1.39211136890951,0
"118",-55.7379975013386,0
"119",-6.17526325182938,0
"120",32.7503123326789,0
"121",-87.5334642155988,0
"122",18.7399607353204,0
"123",0.892379082634303,0
"124",4.37265750490809,0
"125",17.7137247902909,0
"126",-46.1627699446725,0
"127",-1.90076744601107,0
"128",7.54060324825986,0
"129",8.86132429055863,0
"130",60.3962163126896,0
"131",-253.980010708549,0
"132",-144.743887203284,0
"133",0.669284311975727,0
"134",33.7854720685347,0
"135",274.897376405497,0
"136",0,0
"137",4.1049437801178,0
"138",53.4445832589684,0
"139",398.648045689809,0
"140",204.622523648046,0
"141",253.703373192932,0
"142",110.2980546136,0
"143",0,0
"144",11.9578797072997,0
"145",0,0
"146",67.2853828306265,0
"147",-25.7005175798679,0
"148",-24.6296626807068,0
"149",1531.59021952525,0
"150",-91.5580938782795,0
"151",2127.25325718365,0
"152",-84.5975370337319,0
"153",584.731393896127,0
"154",277.84222737819,0
"155",441.683026949848,0
"156",0,0
