"","standardised_tarozzi_profit","tarozzi_treatment"
"1",5.4642336002463,0
"2",0,0
"3",0,0
"4",0.265949682398102,0
"5",-3.90059534183883,0
"6",0,0
"7",0.354599576530803,0
"8",1.29428845433743,0
"9",0,0
"10",9.57418856633168,0
"11",0.886498941327007,0
"12",1.86164777678672,0
"13",0,0
"14",2.09213750153174,0
"15",-2.65949682398102,0
"16",0,0
"17",0.992878814286248,0
"18",0,0
"19",0,0
"20",-0.354599576530803,0
"21",6.64874205995255,0
"22",0.797849047194307,0
"23",22.3397733214406,0
"24",-5.05522991266048,0
"25",8.51038983673927,0
"26",-9.92878814286248,0
"27",21.205054676542,0
"28",5.23034375382934,0
"29",7.09199153061606,0
"30",17.7299788265401,0
"31",9.39688877806628,0
"32",8.68768962500467,0
"33",8.56948940544373,0
"34",3.75875551122651,0
"35",10.9393969359753,0
"36",0,0
"37",7.09199153061606,0
"38",1.77299788265401,0
"39",-6.56009216581985,0
"40",0.354599576530803,0
"41",4.13108506658385,0
"42",0,0
"43",38.3727386521239,0
"44",6.20549258928905,0
"45",-0.177299788265401,0
"46",3.90059534183883,0
"47",109.925868724549,0
"48",28.4566160165969,0
"49",-27.3041673928718,0
"50",19.1863693260619,0
"51",2.83679661224642,0
"52",1.41839830612321,0
"53",11.8790858137819,0
"54",4.60979449490044,0
"55",22.1624735331752,0
"56",-4.34384481250234,0
"57",17.2689993770501,0
"58",-0.354599576530803,0
"59",3.19139618877723,0
"60",16.4888803086823,0
"61",-1.77299788265401,0
"62",0,0
"63",0,0
"64",-6.38279237755445,0
"65",8.59903973087197,0
"66",0,1
"67",-17.6194694614421,1
"68",10.9039369783222,1
"69",-14.7868023413345,1
"70",91.4815916445913,1
"71",-11.4759105970188,1
"72",0.585089301275825,1
"73",0,1
"74",-2.46446705688908,1
"75",6.80831186939142,1
"76",27.1268676046064,1
"77",0.886498941327007,1
"78",21.2759745918482,1
"79",-42.3309304535003,1
"80",-14.0776031882729,1
"81",24.2014210982273,1
"82",0,1
"83",-7.41113114949378,1
"84",-0.0709199153061606,1
"85",4.43249470663504,1
"86",0,1
"87",-4.78709428316584,1
"88",2.58857690867486,1
"89",24.29007099236,1
"90",-16.1748073255996,1
"91",4.50088238619571,1
"92",7.26929131888146,1
"93",12.8258173369867,1
"94",-24.3255309500131,1
"95",6.32571643314233,1
"96",-2.05076750584681,1
"97",15.8178140287829,1
"98",9.34807073577973,1
