"","standardised_augsberg_profit","augsberg_treatment"
"374",0,0
"375",0,0
"376",0,0
"377",0,1
"378",0,0
"379",0,1
"380",0,0
"381",51.5946921857225,1
"382",1031.89384371445,1
"383",0,1
"384",0,1
"385",0,1
"386",361.162845300057,1
"387",0,0
"388",464.352229671502,1
"389",61.913630622867,1
"390",0,0
"391",77.3920382785837,1
"392",0,0
"393",0,1
"394",0,1
"395",0,0
"396",773.920382785837,1
"397",206.37876874289,1
"398",0,1
"399",0,0
"400",773.920382785837,0
"401",0,1
"402",0,0
"403",309.568153114335,1
"404",0,0
"405",0,1
"406",0,1
"407",0,0
"408",1031.89384371445,1
"409",0,1
"410",0,1
"411",0,0
"412",0,0
"413",0,0
"414",0,1
"415",0,0
"416",0,0
"417",0,1
"418",412.75753748578,1
"419",103.189384371445,1
"420",0,1
"421",0,1
"422",257.973460928612,0
"423",0,1
"424",0,0
"425",0,1
"426",0,1
"427",0,0
"428",0,1
"429",0,0
"430",3611.62845300057,0
"431",0,1
"432",0,0
"433",0,0
"434",0,0
"435",0,1
"436",0,0
"437",0,1
"438",0,0
"439",0,1
"440",103.189384371445,1
"441",0,0
"442",0,1
"443",0,1
"444",0,1
"445",154.784076557167,0
"446",0,1
"447",103.189384371445,1
"448",0,0
"449",0,0
"450",0,0
"451",0,1
"452",0,1
"453",0,0
"454",0,0
"455",0,1
"456",0,1
"457",103.189384371445,0
"458",0,0
"459",0,1
"460",0,1
"461",0,1
"462",309.568153114335,0
"463",0,1
"464",0,1
"465",0,0
"466",0,0
"467",2579.73460928612,0
"468",0,1
"469",0,0
"470",464.352229671502,1
"471",0,1
"472",0,1
"473",0,1
"474",103.189384371445,0
"475",0,1
"476",206.37876874289,1
"477",0,0
"478",206.37876874289,1
"479",0,0
"480",0,0
"481",0,1
"482",77.3920382785837,1
"483",103.189384371445,0
"484",0,1
"485",0,1
"486",0,0
"487",0,0
"488",0,1
"489",206.37876874289,1
"490",0,1
"491",0,1
"492",0,0
"493",0,0
"494",0,0
"495",0,0
"496",0,0
"497",0,1
"498",696.528344507253,1
"499",0,1
"500",0,0
"501",0,0
"502",0,1
"503",128.986730464306,0
"504",0,1
"505",0,1
"506",0,1
"507",154.784076557167,1
"508",51.5946921857225,0
"509",0,1
"510",0,1
"511",361.162845300057,0
"512",0,1
"513",0,0
"514",0,1
"515",1031.89384371445,0
"516",0,0
"517",51.5946921857225,1
"518",0,0
"519",0,1
"520",0,0
"521",0,1
"522",0,0
"523",515.946921857225,1
"524",0,0
"525",0,1
"526",0,0
"527",0,0
"528",0,1
"529",0,1
"530",0,0
"531",0,0
"532",0,1
"533",696.528344507253,1
"534",154.784076557167,0
"535",0,1
"536",257.973460928612,1
"537",0,0
"538",0,0
"539",77.3920382785837,1
"540",0,1
"541",0,1
"542",0,1
"543",0,0
"544",0,0
"545",0,1
"546",0,0
"547",0,1
"548",0,1
"549",0,0
"550",0,1
"551",0,1
"552",0,0
"553",0,0
"554",0,1
"555",773.920382785837,0
"556",0,1
"557",0,0
"558",0,1
"559",0,0
"560",0,1
"561",0,1
"562",464.352229671502,0
"563",0,1
"564",0,1
"565",0,0
"566",0,0
"567",0,1
"568",361.162845300057,0
"569",0,1
"570",0,0
"571",0,1
"572",0,0
"573",206.37876874289,1
"574",0,0
"575",0,0
"576",412.75753748578,1
"577",0,1
"578",0,0
"579",0,1
"580",0,0
"581",515.946921857225,0
"582",0,1
"583",1547.84076557167,0
"584",0,0
"585",0,0
"586",232.176114835751,1
"587",0,0
"588",0,1
"589",0,1
"590",0,0
"591",0,0
"592",0,1
"593",0,1
"594",0,1
"595",0,0
"596",0,0
"597",515.946921857225,1
"598",0,1
"599",0,0
"600",0,1
"601",0,1
"602",25.7973460928612,0
"603",0,0
"604",0,0
"605",0,1
"606",0,1
"607",0,0
"608",0,0
"609",0,1
"610",0,0
"611",0,1
"612",0,1
"613",0,1
"614",0,1
"615",0,1
"616",103.189384371445,1
"617",0,1
"618",335.365499207196,1
"619",77.3920382785837,0
"620",0,1
"621",0,1
"622",180.581422650029,1
"623",0,0
"624",0,0
"625",0,0
"626",3095.68153114335,1
"627",0,0
"628",0,1
"629",0,1
"630",0,1
"631",0,0
"632",206.37876874289,1
"633",36.1162845300057,1
"634",0,1
"635",257.973460928612,0
"636",0,1
"637",2579.73460928612,0
"638",0,1
"639",0,0
"640",0,1
"641",154.784076557167,0
"642",0,0
"643",0,1
"644",0,1
"645",0,0
"646",0,0
"647",0,1
"648",515.946921857225,0
"649",619.13630622867,0
"650",309.568153114335,1
"651",515.946921857225,1
"652",154.784076557167,1
"653",0,0
"654",0,0
"655",0,1
"656",722.325690600115,1
"657",0,0
"658",0,0
"659",0,1
"660",0,1
"661",0,1
"662",0,0
"663",0,1
"664",0,0
"665",412.75753748578,1
"666",3095.68153114335,0
"667",0,0
"668",0,0
"669",0,1
"670",0,0
"671",0,1
"672",0,0
"673",206.37876874289,1
"674",515.946921857225,1
"675",0,1
"676",257.973460928612,0
"677",0,0
"678",0,1
"679",0,1
"680",0,0
"681",0,1
"682",103.189384371445,0
"683",0,1
"684",0,1
"685",0,1
"686",257.973460928612,0
"687",0,1
"688",0,1
"689",0,0
"690",0,0
"691",361.162845300057,1
"692",773.920382785837,1
"693",0,1
"694",0,1
"695",0,1
"696",0,1
"697",0,0
"698",0,1
"699",0,0
"700",0,1
"701",0,0
"702",1547.84076557167,1
"703",0,0
"704",773.920382785837,1
"705",0,1
"706",0,1
"707",515.946921857225,0
"708",0,0
"709",51.5946921857225,0
"710",0,0
"711",0,1
"712",0,0
"713",515.946921857225,0
"714",0,0
"715",0,0
"716",206.37876874289,1
"717",0,0
"718",1031.89384371445,1
"719",0,1
"720",0,0
"721",0,1
"722",0,1
"723",0,0
"724",0,1
"725",0,1
"726",25.7973460928612,0
"727",0,1
"728",361.162845300057,1
"729",206.37876874289,1
"730",0,0
"731",0,1
"732",0,0
"733",154.784076557167,1
"734",0,0
"735",180.581422650029,0
"736",154.784076557167,1
"737",335.365499207196,0
"738",0,1
"739",0,0
"740",0,1
"741",0,0
"742",67.0730998414392,1
"743",0,0
"744",0,0
"745",154.784076557167,1
"746",0,0
"747",0,0
"748",0,1
"749",154.784076557167,1
"750",0,1
"751",0,1
"752",335.365499207196,1
"753",0,1
"754",1547.84076557167,0
"755",0,1
"756",257.973460928612,0
"757",0,0
"758",180.581422650029,1
"759",0,0
"760",0,0
"761",0,0
"762",0,1
"763",257.973460928612,1
"764",0,0
"765",0,0
"766",0,1
"767",0,1
"768",0,1
"769",0,0
"770",0,0
"771",0,0
"772",0,0
"773",0,0
"774",0,0
"775",0,0
"776",0,1
"777",51.5946921857225,0
"778",0,1
"779",0,0
"780",0,1
"781",0,1
"782",0,0
"783",773.920382785837,1
"784",0,0
"785",0,0
"786",0,1
"787",180.581422650029,0
"788",0,1
"789",0,0
"790",0,1
"791",0,0
"792",361.162845300057,1
"793",0,0
"794",412.75753748578,1
"795",103.189384371445,1
"796",0,1
"797",0,1
"798",0,0
"799",722.325690600115,1
"800",0,1
"801",0,0
"802",0,0
"803",0,0
"804",619.13630622867,0
"805",309.568153114335,1
"806",928.704459343004,0
"807",0,1
"808",0,0
"809",0,0
"810",0,1
"811",0,0
"812",0,0
"813",0,1
"814",0,0
"815",0,1
"816",0,0
"817",309.568153114335,1
"818",77.3920382785837,1
"819",0,0
"820",0,0
"821",361.162845300057,1
"822",0,0
"823",0,0
"824",0,1
"825",773.920382785837,1
"826",0,0
"827",0,0
"828",0,1
"829",0,1
"830",1031.89384371445,1
"831",0,1
"832",0,1
"833",0,1
"834",0,0
"835",0,0
"836",77.3920382785837,1
"837",0,1
"838",257.973460928612,0
"839",0,1
"840",773.920382785837,1
"841",77.3920382785837,0
"842",206.37876874289,1
"843",0,0
"844",0,1
"845",0,0
"846",0,1
"847",103.189384371445,0
"848",103.189384371445,1
"849",0,0
"850",0,0
"851",103.189384371445,1
"852",0,1
"853",0,1
"854",1186.67792027162,0
"855",0,1
"856",773.920382785837,1
"857",0,0
"858",0,0
"859",0,0
"860",0,1
"861",0,1
"862",0,0
"863",0,0
"864",0,0
"865",0,1
"866",0,1
"867",0,0
"868",0,0
"869",0,1
"870",257.973460928612,1
"871",773.920382785837,1
"872",0,0
"873",0,1
"874",0,1
"875",0,1
"876",0,0
"877",232.176114835751,1
"878",0,0
"879",206.37876874289,0
"880",0,0
"881",0,0
"882",0,0
"883",0,1
"884",0,0
"885",257.973460928612,1
"886",154.784076557167,1
"887",0,0
"888",154.784076557167,0
"889",0,1
"890",0,1
"891",0,1
"892",0,1
"893",0,0
"894",0,1
"895",0,0
"896",0,1
"897",0,0
"898",0,1
"899",0,1
"900",0,1
"901",0,0
"902",0,1
"903",0,1
"904",0,1
"905",0,1
"906",0,1
"907",0,0
"908",0,0
"909",0,1
"910",206.37876874289,0
"911",0,0
"912",0,1
"913",154.784076557167,0
"914",232.176114835751,1
"915",0,0
"916",154.784076557167,1
"917",0,0
"918",77.3920382785837,1
"919",412.75753748578,1
"920",0,1
"921",103.189384371445,0
"922",154.784076557167,0
"923",0,1
"924",0,0
"925",0,1
"926",1031.89384371445,0
"927",103.189384371445,0
"928",180.581422650029,0
"929",0,0
"930",0,1
"931",0,1
"932",0,1
"933",77.3920382785837,0
"934",0,0
"935",0,0
"936",0,1
"937",0,0
"938",515.946921857225,0
"939",412.75753748578,1
"940",103.189384371445,0
"941",0,0
"942",0,1
"943",77.3920382785837,1
"944",0,1
"945",0,0
"946",0,1
"947",515.946921857225,0
"948",257.973460928612,1
"949",206.37876874289,1
"950",515.946921857225,1
"951",361.162845300057,1
"952",0,0
"953",0,0
"954",0,1
"955",0,0
"956",0,1
"957",0,1
"958",0,1
"959",0,0
"960",154.784076557167,0
"961",77.3920382785837,1
"962",0,1
"963",0,0
"964",0,1
"965",619.13630622867,0
"966",154.784076557167,1
"967",0,0
"968",0,0
"969",0,0
"970",0,0
"971",154.784076557167,0
"972",2063.7876874289,1
"973",0,0
"974",0,0
"975",0,0
"976",0,1
"977",1031.89384371445,1
"978",0,0
"979",0,1
"980",0,0
"981",0,1
"982",0,1
"983",0,0
"984",0,1
"985",25.7973460928612,0
"986",51.5946921857225,1
"987",0,0
"988",0,1
"989",0,0
"990",206.37876874289,0
"991",0,1
"992",0,0
"993",154.784076557167,1
"994",0,1
"995",103.189384371445,0
"996",309.568153114335,1
"997",206.37876874289,0
"998",206.37876874289,1
"999",0,0
"1000",0,1
"1001",257.973460928612,1
"1002",0,0
"1003",0,1
"1004",0,0
"1005",0,0
"1006",0,1
"1007",0,1
"1008",0,0
"1009",0,0
"1010",128.986730464306,1
"1011",773.920382785837,0
"1012",773.920382785837,1
"1013",257.973460928612,0
"1014",257.973460928612,0
"1015",103.189384371445,0
"1016",257.973460928612,1
"1017",0,0
"1018",0,1
"1019",0,1
"1020",0,0
"1021",515.946921857225,1
"1022",0,0
"1023",0,1
"1024",0,1
"1025",1547.84076557167,1
"1026",0,0
"1027",0,0
"1028",0,0
"1029",103.189384371445,1
"1030",257.973460928612,1
"1031",0,1
"1032",619.13630622867,1
"1033",0,0
"1034",0,0
"1035",154.784076557167,0
"1036",0,1
"1037",257.973460928612,1
"1038",0,0
"1039",0,0
"1040",2063.7876874289,0
"1041",0,0
"1042",0,1
"1043",103.189384371445,0
"1044",0,1
"1045",0,1
"1046",0,1
"1047",928.704459343004,0
"1048",0,1
"1049",773.920382785837,0
"1050",0,1
"1051",0,1
"1052",257.973460928612,1
"1053",0,1
"1054",0,0
"1055",0,1
"1056",0,0
"1057",0,0
"1058",515.946921857225,1
"1059",0,0
"1060",0,1
"1061",0,0
"1062",206.37876874289,1
"1063",180.581422650029,1
"1064",361.162845300057,0
"1065",0,1
"1066",0,0
"1067",180.581422650029,1
"1068",0,0
"1069",0,1
"1070",0,1
"1071",0,1
"1072",0,0
"1073",0,1
"1074",0,0
"1075",0,1
"1076",0,0
"1077",0,0
"1078",30.9568153114335,0
"1079",0,0
"1080",103.189384371445,1
"1081",0,1
"1082",0,1
"1083",257.973460928612,1
"1084",154.784076557167,1
"1085",206.37876874289,0
"1086",0,1
"1087",0,0
"1088",0,1
"1089",0,0
"1090",77.3920382785837,1
"1091",154.784076557167,0
"1092",154.784076557167,1
"1093",0,1
"1094",0,0
"1095",0,0
"1096",0,1
"1097",0,0
"1098",0,0
"1099",0,1
"1100",0,0
"1101",0,0
"1102",1547.84076557167,1
"1103",154.784076557167,1
"1104",257.973460928612,0
"1105",257.973460928612,1
"1106",103.189384371445,0
"1107",0,1
"1108",0,1
"1109",0,0
"1110",0,1
"1111",0,0
"1112",0,0
"1113",0,1
"1114",0,1
"1115",0,0
"1116",0,1
"1117",0,1
"1118",0,0
"1119",103.189384371445,1
"1120",0,1
"1121",0,1
"1122",0,0
"1123",206.37876874289,0
"1124",206.37876874289,1
"1125",0,1
"1126",0,0
"1127",0,0
"1128",0,1
"1129",0,0
"1130",0,1
"1131",154.784076557167,1
"1132",0,0
"1133",0,0
"1134",0,1
"1135",0,1
"1136",0,0
"1137",77.3920382785837,1
"1138",0,1
"1139",0,0
"1140",0,0
"1141",154.784076557167,1
"1142",0,1
"1143",0,0
"1144",0,0
"1145",206.37876874289,1
"1146",0,1
"1147",0,0
"1148",0,0
"1149",0,1
"1150",515.946921857225,1
"1151",0,1
"1152",206.37876874289,1
"1153",0,0
"1154",0,1
"1155",0,0
"1156",0,1
"1157",0,0
"1158",0,1
"1159",0,1
"1160",0,1
"1161",0,0
"1162",0,0
"1163",0,0
"1164",0,0
"1165",51.5946921857225,0
"1166",154.784076557167,1
"1167",0,0
"1168",0,1
"1169",0,0
"1170",4127.5753748578,1
"1171",0,1
"1172",0,1
"1173",257.973460928612,0
"1174",361.162845300057,0
"1175",0,1
"1176",0,0
"1177",0,1
"1178",0,0
"1179",0,1
"1180",0,0
"1181",0,0
"1182",154.784076557167,0
"1183",0,1
"1184",0,0
"1185",0,1
"1186",0,1
"1187",0,1
"1188",0,1
"1189",257.973460928612,0
"1190",0,0
"1191",0,1
"1192",0,0
"1193",257.973460928612,0
"1194",0,0
"1195",0,1
"1196",0,NA
