"","standardised_karlan_profit","karlan_treatment"
"1",562.206322491988,1
"2",2391.25089166592,1
"3",337.323793495192,1
"4",1036.06593716381,1
"5",80.3151889274268,1
"6",133.858648212378,1
"7",0,1
"8",267.717296424756,1
"9",160.630377854854,0
"10",239.339263003732,1
"11",0,1
"12",414.961809458372,0
"13",133.858648212378,1
"14",329.29227460245,1
"15",240.94556678228,0
"16",334.646620530945,0
"17",3726.6247662326,1
"18",1338.58648212378,0
"19",216.851010104052,0
"20",1552.76031926358,1
"21",174.016242676091,0
"22",0,1
"23",133.858648212378,1
"24",133.858648212378,1
"25",368.111282584039,0
"26",0,0
"27",401.575944637134,0
"28",227.559701961043,1
"29",397.560185190763,1
"30",133.858648212378,1
"31",693.387797740118,0
"32",107.086918569902,1
"33",4524.42230957838,1
"34",401.575944637134,0
"35",0,1
"36",1954.33626390072,1
"37",40.1575944637134,1
"38",66.929324106189,1
"39",2054.73025006,1
"40",0,1
"41",82.9923618916743,1
"42",80.3151889274268,1
"43",267.717296424756,0
"44",374.804214994658,1
"45",160.630377854854,1
"46",428.34767427961,1
"47",1289.0587822852,1
"48",107.086918569902,1
"49",214.173837139805,1
"50",2342.52634371661,1
"51",40.1575944637134,1
"52",481.891133564561,0
"53",669.29324106189,0
"54",96.3782267129121,1
"55",133.858648212378,0
"56",401.575944637134,1
"57",4765.36787636066,1
"58",503.308517278541,1
"59",1338.58648212378,1
"60",1.60630377854854,1
"61",910.23880784417,0
"62",350.70965831643,1
"63",526.064487474645,1
"64",3748.04214994658,1
"65",1405.51580622997,1
"66",64.2521511419414,0
"67",460.47374985058,0
"68",1311.8147524813,0
"69",183.386348050958,0
"70",535.434592849512,0
"71",214.173837139805,1
"72",1544.72880037084,1
"73",412.284636494124,0
"74",174.016242676091,1
"75",803.151889274268,1
"76",163.307550819101,1
"77",24.094556678228,0
"78",0,1
"79",85.6695348559219,1
"80",631.357700158502,1
"81",804.651106134246,1
"82",76.2994294810554,1
"83",758.978535364183,1
"84",214.173837139805,1
"85",14507.6002932575,1
"86",0,1
"87",326.615101638202,1
"88",547.481871188626,1
"89",267.717296424756,1
"90",267.717296424756,1
"91",634.195503500604,1
"92",3962.21598708639,1
"93",117.795610426893,0
"94",0,0
"95",401.575944637134,0
"96",214.173837139805,0
"97",401.575944637134,1
"98",348.032485352183,0
"99",214.173837139805,1
"100",107.086918569902,0
"101",267.717296424756,0
"102",1204.7278339114,1
"103",0,1
"104",369.449869066163,0
"105",160.630377854854,0
"106",133.858648212378,0
"107",160.630377854854,1
"108",803.151889274268,0
"109",53.5434592849512,1
"110",160.630377854854,1
"111",0,0
"112",0,0
"113",160.630377854854,1
"114",803.151889274268,1
"115",26.7717296424756,1
"116",669.29324106189,0
"117",294.489026067232,1
"118",0,1
"119",112.441264498398,1
"120",535.434592849512,1
"121",34.8032485352183,1
"122",0,0
"123",321.260755709707,1
"124",0,1
"125",80.3151889274268,1
"126",66.929324106189,1
"127",214.173837139805,1
"128",187.402107497329,1
"129",1501.89403294288,1
"130",88.3467078201695,1
"131",0,1
"132",401.575944637134,1
"133",267.717296424756,1
"134",388.190079815896,1
"135",160.630377854854,0
"136",267.717296424756,1
"137",0,1
"138",0,1
"139",446.552450436493,0
"140",321.260755709707,1
"141",80.3151889274268,1
"142",267.717296424756,1
"143",361.418350173421,1
"144",254.331431603518,0
"145",21.5512423621929,0
"146",348.032485352183,0
"147",277.355119096047,1
"148",80.3151889274268,1
"149",401.575944637134,0
"150",291.811853102984,1
"151",1231.49956355388,1
"152",803.151889274268,1
"153",147.244513033616,0
"154",133.858648212378,1
"155",862.049694487714,1
"156",267.717296424756,0
"157",0,1
"158",240.94556678228,1
"159",267.717296424756,0
"160",744.254084060822,1
"161",46.8505268743323,1
"162",0,1
"163",315.906409781212,1
"164",232.914047889538,1
"165",0,1
"166",0,1
"167",267.717296424756,1
"168",348.032485352183,1
"169",1124.41264498398,1
"170",133.858648212378,1
"171",147.244513033616,0
"172",0,0
"173",107.086918569902,1
"174",160.630377854854,0
"175",508.662863207036,1
"176",374.804214994658,1
"177",107.086918569902,1
"178",133.858648212378,1
"179",133.858648212378,1
"180",246.299912710775,0
"181",321.260755709707,1
"182",803.151889274268,1
"183",243.622739746528,1
"184",291.811853102984,0
"185",0,1
"186",283.780334210241,1
"187",1084.25505052026,1
"188",1191.34196909016,1
"189",965.790146852307,1
"190",0,1
"191",99.0553996771597,1
"192",337.323793495192,0
"193",357.402590727049,1
"194",803.151889274268,1
"195",331.701730270273,1
"196",1333.23213619528,1
"197",155.276031926358,1
"198",187.402107497329,1
"199",-16063.0377854854,1
"200",40.1575944637134,0
"201",0,0
"202",333.308034048821,1
"203",156.614618408482,1
"204",246.299912710775,1
"205",118.063327723317,1
"206",441.733539100847,1
"207",188.339118034816,1
"208",5689.52798361891,1
"209",401.575944637134,0
"210",149.921685997863,1
"211",937.010537486646,0
"212",696.064970704365,1
"213",321.260755709707,1
"214",1151.18437462645,1
"215",240.94556678228,1
"216",803.151889274268,1
"217",5541.74803599245,1
"218",263.969254274809,0
"219",240.94556678228,1
"220",53.5434592849512,0
"221",133.858648212378,1
"222",115.118437462645,0
"223",1254.25553374998,1
"224",1539.37445444235,1
"225",882.128491719571,1
"226",0,1
"227",2409.4556678228,1
"228",401.575944637134,0
"229",187.402107497329,1
"230",3206.98549387215,1
"231",1378.74407658749,1
"232",133.858648212378,0
