"","standardised_attanasio_profit","attanasio_treatment"
"348",0,0
"349",0,0
"350",0,0
"351",0,0
"352",0,0
"353",0,0
"354",0,0
"355",0,0
"356",-0.562040251074621,0
"357",1.34889660257909,0
"358",0,0
"359",0.839313441604767,0
"360",-14.4631691276536,0
"361",-7.01426233341127,0
"362",0,0
"363",0,0
"364",0,0
"365",0,0
"366",0,0
"367",0,0
"368",0,0
"369",0,0
"370",-6.71450753283814,0
"371",0,0
"372",0,0
"373",0,0
"374",0,0
"375",0,0
"376",2.24816100429848,0
"377",-4.57126070874025,0
"378",-3.29730280630444,0
"379",0,0
"380",0,0
"381",0,0
"382",0,0
"383",-7.86856351504469,0
"384",0.149877400286566,0
"385",0,1
"386",0,1
"387",0,1
"388",0,1
"389",0,1
"390",0,1
"391",0,1
"392",0,1
"393",0,1
"394",0,1
"395",0,1
"396",0,1
"397",0,1
"398",0,1
"399",0,1
"400",-5.99509601146262,1
"401",0,1
"402",0,1
"403",0,1
"404",0,1
"405",-0.749387001432828,1
"406",0,1
"407",0,1
"408",0,1
"409",0,1
"410",0,1
"411",0,1
"412",3.37224150644773,1
"413",0,1
"414",0,1
"415",0,1
"416",0,1
"417",0,1
"418",0,1
"419",0,1
"420",-8.61795051647752,1
"421",0,1
"422",0,1
"423",0,1
"424",0,1
"425",0,1
"426",0,1
"427",0,1
"428",0,1
"429",0,1
"430",0,1
"431",0,1
"432",0,1
"433",0,1
"434",0,1
"435",0,1
"436",0,0
"437",0,0
"438",-4.31047403224163,0
"439",0,0
"440",-5.45928430543815,0
"441",0,0
"442",0,0
"443",0,0
"444",0,0
"445",0,0
"446",0,0
"447",0,0
"448",0,0
"449",-4.71963933502395,0
"450",0,0
"451",0,0
"452",0,0
"453",0,0
"454",0,0
"455",0,0
"456",0,0
"457",0,0
"458",0,0
"459",1.34889660257909,0
"460",0,1
"461",-7.6062780645432,1
"462",0,1
"463",-10.1916632194865,1
"464",0,1
"465",0,1
"466",0,1
"467",0,1
"468",0,1
"469",0,1
"470",0,1
"471",-6.07003471160591,1
"472",0,1
"473",0,1
"474",0,1
"475",0,1
"476",0,1
"477",0,1
"478",0,1
"479",0,1
"480",0,1
"481",0,1
"482",2.84767060544475,1
"483",0,1
"484",-0.173857784332416,1
"485",0,1
"486",0,1
"487",0,1
"488",0,1
"489",0,1
"490",0,1
"491",0,1
"492",0,1
"493",0,1
"494",0,1
"495",-1.12408050214924,1
"496",5.99509601146262,1
"497",0,1
"498",0,1
"499",0,1
"500",0,1
"501",5.62040251074621,1
"502",0,1
"503",0,1
"504",0,1
"505",-9.87242435687608,1
"506",0,1
"507",0,0
"508",0,0
"509",0,0
"510",0,0
"511",0,0
"512",-2.99754800573131,0
"513",0,0
"514",0,0
"515",0,0
"516",0,0
"517",0,0
"518",0,0
"519",0,0
"520",0,0
"521",0,0
"522",0,0
"523",0,0
"524",0,0
"525",0,0
"526",0,0
"527",-10.5363812401456,0
"528",0,0
"529",0,0
"530",0,0
"531",-2.92260930558803,0
"532",0,0
"533",0,0
"534",0,0
"535",-8.2132815357038,0
"536",0,1
"537",0,1
"538",0,1
"539",0,1
"540",0,1
"541",0,1
"542",0,1
"543",3.59705760687757,1
"544",0,1
"545",0,1
"546",0,1
"547",0,1
"548",-3.89006792443781,1
"549",-4.94595420945666,1
"550",0,1
"551",0,1
"552",0,1
"553",1.01916632194865,1
"554",0,1
"555",0,1
"556",0,1
"557",0,1
"558",0,1
"559",0,1
"560",0,1
"561",0,1
"562",4.73612584905547,1
"563",0,1
"564",0,1
"565",0,1
"566",-8.99264401719394,1
"567",0,1
"568",-8.8663723074525,1
"569",0,1
"570",0,1
"571",-7.14915199366918,1
"572",0,1
"573",0,1
"574",0,1
"575",0,1
"576",0,1
"577",0,1
"578",-9.17249689753781,1
"579",0,1
"580",-7.84608190500171,1
"581",0,1
"582",0,1
"583",0,1
"584",0,1
"585",0,1
"586",0,1
"587",0,1
"588",0,1
"589",0,1
"590",-6.03256536153426,1
"591",-8.82028500686438,1
"592",-1.16904372223521,1
"593",0,1
"594",0,1
"595",0,1
"596",0,1
"597",0,1
"598",0,1
"599",0,1
"600",0,1
"601",-6.36978951217904,1
"602",0,1
"603",0,1
"604",0,1
"605",0,1
"606",0,1
"607",0,1
"608",0,1
"609",-12.5222567939426,1
"610",0,1
"611",0,1
"612",0,1
"613",0,1
"614",0,1
"615",0,1
"616",0,1
"617",0,1
"618",0,1
"619",0,1
"620",0,1
"621",0,1
"622",-12.5897016240715,1
"623",0,1
"624",0,1
"625",0,1
"626",0,1
"627",0,1
"628",0,0
"629",0,0
"630",0,0
"631",0,0
"632",0,0
"633",0,0
"634",0,0
"635",0,0
"636",0,0
"637",0,0
"638",0,0
"639",0,0
"640",0,0
"641",0,0
"642",0,0
"643",0,0
"644",0,0
"645",0,0
"646",0,0
"647",0,0
"648",0,0
"649",0,0
"650",0,0
"651",2.6228545050149,0
"652",0,0
"653",0,0
"654",0,0
"655",0,1
"656",0,1
"657",-0.0749387001432828,1
"658",0,1
"659",-1.12408050214924,1
"660",3.95676336756533,1
"661",0,1
"662",0,1
"663",0,1
"664",0,1
"665",0,1
"666",0,1
"667",0,1
"668",0,1
"669",0,1
"670",0,1
"671",0,1
"672",0,1
"673",0,1
"674",0,1
"675",0,1
"676",0,1
"677",0,1
"678",0,1
"679",0,1
"680",0,1
"681",0,1
"682",0,1
"683",2.05332038392595,1
"684",0,1
"685",0,1
"686",0,1
"687",0,1
"688",0,1
"689",0,1
"690",-6.66954431275217,1
"691",-11.5068374070011,1
"692",0,1
"693",0,1
"694",-1.19901920229252,1
"695",0,1
"696",0,1
"697",0,1
"698",0,1
"699",0,1
"700",-12.9643951247879,1
"701",0,1
"702",0,1
"703",0,1
"704",0,1
"705",0,1
"706",0,1
"707",0,1
"708",0,1
"709",2.58538515494326,1
"710",-2.99754800573131,1
"711",0,1
"712",0,1
"713",0,1
"714",0,1
"715",0,1
"716",0,1
"717",0,1
"718",0,1
"719",-11.2258172814638,1
"720",0,1
"721",-12.1400694232118,1
"722",0,1
"723",-3.14742540601788,1
"724",0,1
"725",0,1
"726",0,1
"727",0,1
"728",-18.3599815351043,1
"729",0,1
"730",0,1
"731",0,1
"732",0,1
"733",0,1
"734",0,1
"735",0,1
"736",-6.21991211189247,1
"737",0,1
"738",0,1
"739",-13.1292602651031,1
"740",0,1
"741",0,1
"742",-10.1167245193432,1
"743",0,1
"744",-3.10995605594624,1
"745",-3.88182466742205,1
"746",4.94595420945666,1
"747",0,1
"748",0,1
"749",0,1
"750",0,1
"751",0,1
"752",0,1
"753",0,1
"754",-2.15823456412654,1
"755",-13.4889660257909,1
"756",0,1
"757",-7.26905391389843,1
"758",-4.19656720802384,1
"759",-2.6228545050149,1
"760",0,1
"761",0,1
"762",-5.39558641031636,1
"763",0,1
"764",0,1
"765",0,1
"766",0,1
