"","standardised_banerjee_profit","banerjee_treatment"
"390",0,0
"391",0,0
"392",0,0
"393",0,0
"394",0,0
"395",0,0
"396",0,0
"397",0,0
"398",85.3724526626852,0
"399",0,0
"400",0,0
"401",0,0
"402",0,0
"403",0,0
"404",0,0
"405",0,0
"406",0,0
"407",0,0
"408",-1698.99848052821,0
"409",0,0
"410",0,0
"411",0,0
"412",0,0
"413",0,0
"414",0,0
"415",0,0
"416",0,0
"417",0,0
"418",-21.2781087600906,0
"419",0,0
"420",0,0
"421",104.729323628994,0
"422",0,0
"423",0,0
"424",23.8349487129324,0
"425",0,0
"426",0,0
"427",0,0
"428",136.075889015651,0
"429",0,0
"430",4.33362703871499,0
"431",0,0
"432",0,0
"433",0,0
"434",119.608106268534,0
"435",0,0
"436",249.183554726112,0
"437",0,0
"438",0,0
"439",0,1
"440",0,0
"441",0,0
"442",0,0
"443",0,0
"444",0,0
"445",0,0
"446",0,0
"447",0,0
"448",-22.1014978974464,0
"449",110.940852191104,0
"450",0,0
"451",0,0
"452",42.1661910866968,0
"453",0,0
"454",0,0
"455",0,0
"456",0,0
"457",0,0
"458",0,0
"459",0,0
"460",0,0
"461",0,0
"462",0,0
"463",0,0
"464",0,0
"465",0,0
"466",0,0
"467",-268.684876400329,0
"468",0,0
"469",0,0
"470",-866.725407742997,0
"471",0,0
"472",0,0
"473",0,0
"474",0,0
"475",0,0
"476",0,0
"477",0,0
"478",0,0
"479",-11.6285650055399,0
"480",0,0
"481",0,0
"482",143.948616588932,0
"483",-22.1014978974464,0
"484",0,0
"485",0,1
"486",0,0
"487",0,0
"488",0,0
"489",0,0
"490",0,0
"491",0,0
"492",0,0
"493",0,0
"494",0,0
"495",0,0
"496",0,0
"497",0,0
"498",0,0
"499",0,0
"500",0,0
"501",38.1359179406919,0
"502",0,0
"503",0,0
"504",0,0
"505",0,0
"506",-22.1014978974464,0
"507",-8.66725407742997,0
"508",0,0
"509",0,0
"510",0,0
"511",0,0
"512",0,0
"513",0,0
"514",0,0
"515",0,0
"516",-56.0337976105848,0
"517",0,0
"518",0,0
"519",0,0
"520",0,0
"521",0,0
"522",0,0
"523",0,0
"524",0,0
"525",0,0
"526",563.371515032948,0
"527",216.681351935749,0
"528",0,0
"529",0,0
"530",0,0
"531",0.996734218904447,0
"532",0,0
"533",0,0
"534",0,0
"535",0,0
"536",-56.2938152329077,0
"537",0,0
"538",-8.66725407742997,0
"539",0,0
"540",0,0
"541",0,0
"542",0,0
"543",76.9652162075782,0
"544",0,0
"545",0,0
"546",0,0
"547",0,0
"548",0,0
"549",0,0
"550",0,0
"551",0,0
"552",0,0
"553",8.66725407742997,0
"554",0,0
"555",13.867606523888,0
"556",18.0712247514415,0
"557",0,0
"558",0,0
"559",15.1676946355025,0
"560",0,1
"561",0,1
"562",0,1
"563",286.019384555189,1
"564",0,1
"565",0,1
"566",0,1
"567",0,1
"568",-5.07034363529653,1
"569",-0.0866725407742997,1
"570",0,1
"571",-21.6681351935749,1
"572",0,1
"573",0,1
"574",0,1
"575",0,1
"576",16.9011454509884,1
"577",86.6725407742997,1
"578",0,1
"579",0,1
"580",0,1
"581",0,1
"582",6.06707785420098,1
"583",0,1
"584",0,1
"585",6.06707785420098,1
"586",0,1
"587",-284.849305254736,1
"588",0,1
"589",0,1
"590",0,1
"591",0,1
"592",0,1
"593",0,1
"594",0,1
"595",0,1
"596",0,1
"597",92.3929284654035,1
"598",0,1
"599",0,1
"600",195.013216742174,1
"601",-20.3680470819604,1
"602",0,1
"603",0,1
"604",0,1
"605",-13.4342438200165,1
"606",125.675184122735,1
"607",0,1
"608",0,1
"609",0,1
"610",0,1
"611",0,1
"612",0,1
"613",0,1
"614",-132.175624680807,1
"615",136.682596801071,1
"616",-7.36716596581548,1
"617",0,1
"618",-304.393963199341,1
"619",0,1
"620",0,1
"621",0,1
"622",0,1
"623",0,1
"624",6.50044055807248,1
"625",34.6690163097199,1
